user_id,full_name,pan,aadhaar,date_of_birth,city,state,monthly_income,occupation,signup_timestamp,kyc_status,risk_segment,user_id_clean,kyc_status_clean,risk_segment_clean,pan_clean,missing_pan_flag,invalid_pan_flag,aadhaar_clean,missing_aadhaar_flag,masked_aadhaar_flag,invalid_aadhaar_flag,date_of_birth_clean,missing_dob_flag,invalid_dob_flag,monthly_income_clean,missing_income_flag,negative_income_flag,invalid_income_flag,signup_timestamp_clean,missing_signup_timestamp_flag,future_signup_flag,city_clean,state_clean,occupation_clean,full_name_clean,kyc_status_conflict_flag,name_conflict_flag,pan_conflict_flag,aadhaar_conflict_flag,dob_conflict_flag,identity_conflict_score,user_id_core,kyc_record_count
usr10001,Osha Dewan,XZDVU00501,513399118310,24-Mar-1964,Poona,Maharashtra,37535,Retired,27-Sep-2025,Verified,medium,USR10001,APPROVED,MEDIUM,XZDVU00501,0,1,513399118310,0,0,0,1964-03-24 00:00:00,0,0,37535.0,0,0,0,2025-09-27 00:00:00,0,0,Pune,Maharashtra,Retired,OSHA DEWAN,0,0,0,0,0,0,10001,1
USR10007,Yutika Borra,,110185359606,27/09/1963 11:39 AM,Bangalore,Karnataka,20393,Unemployed,2025/02/07,APPROVED,medium,USR10007,APPROVED,MEDIUM,,1,0,110185359606,0,0,0,1963-09-27 11:39:00,0,0,20393.0,0,0,0,2025-02-07 00:00:00,0,0,Bengaluru,Karnataka,Unemployed,YUTIKA BORRA,0,0,0,0,0,0,10007,1
USR10010,WARDA DADA,WJVZZ1464B,109561772042,-171450519,Jalandar,Punjab,48376,Gig Worker,1721987729,PENDING,HIGH,USR10010,PENDING,HIGH,WJVZZ1464B,0,0,109561772042,0,0,0,1964-07-26 14:51:21,0,0,48376.0,0,0,0,2024-07-26 09:55:29,0,0,Jalandhar,Punjab,Gig Worker,WARDA DADA,0,0,0,0,0,0,10010,1
USR10013,Azaan Nigam,LQQSW5207I,7758 1001 3345,12/12/1982,Pune,Maharashtra,Not Available,Salaried,2025/10/09,V,High,USR10013,APPROVED,HIGH,LQQSW5207I,0,0,775810013345,0,0,0,1982-12-12 00:00:00,0,0,,1,0,1,2025-10-09 00:00:00,0,0,Pune,Maharashtra,Salaried,AZAAN NIGAM,0,0,0,0,0,0,10013,1
USR-10014,Nisha Patil,rpdih8589m,XXXX-XXXX-9228,557255026,Bombay,Maharashtra,18633,Freelancer,28/01/2026,VERIFIED,Medium,USR10014,APPROVED,MEDIUM,RPDIH8589M,0,0,XXXXXXXX9228,0,1,0,1987-08-29 17:03:46,0,0,18633.0,0,0,0,2026-01-28 00:00:00,0,0,Mumbai,Maharashtra,Freelancer,NISHA PATIL,0,0,0,0,0,0,10014,1
USR10015,NITARA BUTALA,ZATCW5166R,9355-0947-3494,05-17-2007,LDH,Punjab,7232,Freelancer,10/02/2026,KYC_DONE,LOW,USR10015,APPROVED,LOW,ZATCW5166R,0,0,935509473494,0,0,0,2007-05-17 00:00:00,0,0,7232.0,0,0,0,2026-02-10 00:00:00,0,0,Ludhiana,Punjab,Freelancer,NITARA BUTALA,0,0,0,0,0,0,10015,1
USR10020,Ekaraj Bora,OBRCZ2255G,6366-5525-7298,12-Mar-1982,delhi,Delhi,31737,Retired,2024/04/10,KYC_DONE,MEDIUM,USR10020,APPROVED,MEDIUM,OBRCZ2255G,0,0,636655257298,0,0,0,1982-03-12 00:00:00,0,0,31737.0,0,0,0,2024-04-10 00:00:00,0,0,Delhi,Delhi,Retired,EKARAJ BORA,0,0,0,0,0,0,10020,1
usr10022,Unni Bajaj,OASHV5339A,002445941007,1962-11-10 08:55:28,ASR,Punjab,,Gig Worker,02/02/2026 06:39 PM,VERIFIED,low,USR10022,APPROVED,LOW,OASHV5339A,0,0,002445941007,0,0,0,1962-11-10 08:55:28,0,0,,1,0,0,2026-02-02 18:39:00,0,0,Amritsar,Punjab,Gig Worker,UNNI BAJAJ,0,0,0,0,0,0,10022,1
USR-10024,Hemang Kumar,UBHIY9130I,219732029547,14/04/1968 01:12 AM,kolkata,West Bengal,"Rs. 22,557",Salaried,19/11/2024 01:48 AM,V,HIGH,USR10024,APPROVED,HIGH,UBHIY9130I,0,0,219732029547,0,0,0,1968-04-14 01:12:00,0,0,22557.0,0,0,0,2024-11-19 01:48:00,0,0,Kolkata,West Bengal,Salaried,HEMANG KUMAR,0,0,0,0,0,0,10024,1
USR 10027,Aayush Shenoy,SXXAL10941,9381 6938 4804,02-16-1960,Dilli,Delhi,18134,Retired,,KYC_DONE,LOW,USR10027,APPROVED,LOW,SXXAL10941,0,1,938169384804,0,0,0,1960-02-16 00:00:00,0,0,18134.0,0,0,0,,1,0,Delhi,Delhi,Retired,AAYUSH SHENOY,0,0,0,0,0,0,10027,1
USR10030,Nirja Subramanian,UCCFI-2469-W,XXXX-XXXX-7814,08-Mar-1982,chennai,Tamil Nadu,83.4k,Unemployed,03/08/2024 04:27 PM,VERIFIED,MEDIUM,USR10030,APPROVED,MEDIUM,UCCFI2469W,0,0,XXXXXXXX7814,0,1,0,1982-03-08 00:00:00,0,0,83400.0,0,0,0,2024-08-03 16:27:00,0,0,Chennai,Tamil Nadu,Unemployed,NIRJA SUBRAMANIAN,0,0,0,0,0,0,10030,1
usr_10031,YASTI SAMI,IKRBX 1473 T,555438243372,11-26-1995,Poona,Maharashtra,27676,Self Employed,03-Feb-2026,Under Review,LOW,USR10031,IN_PROGRESS,LOW,IKRBX1473T,0,0,555438243372,0,0,0,1995-11-26 00:00:00,0,0,27676.0,0,0,0,2026-02-03 00:00:00,0,0,Pune,Maharashtra,Self Employed,YASTI SAMI,0,0,0,0,0,0,10031,1
USR10043,rehaan buch,TWXGM2046F,9841-7904-3663,06-Jul-1991,LDH,Punjab,"Rs. 17,368",Business Owner,03-21-2025,Verified,Medium,USR10043,APPROVED,MEDIUM,TWXGM2046F,0,0,984179043663,0,0,0,1991-07-06 00:00:00,0,0,17368.0,0,0,0,2025-03-21 00:00:00,0,0,Ludhiana,Punjab,Business Owner,REHAAN BUCH,1,1,1,1,1,4,10043,2
usr_10045,Mohammed Sur,HGVSK6101C,992158738704,03-02-1979,Pune,Maharashtra,42.1k,Student,13-May-2024,FAILED,MEDIUM,USR10045,REJECTED,MEDIUM,HGVSK6101C,0,0,992158738704,0,0,0,1979-03-02 00:00:00,0,0,42100.0,0,0,0,2024-05-13 00:00:00,0,0,Pune,Maharashtra,Student,MOHAMMED SUR,0,0,0,0,0,0,10045,1
usr_10046,Indrajit Patla,ZIEPW3536D,6950-0123-7960,2006-01-04 23:40:26,Jalandar,Punjab,33616,Self Employed,30-Mar-2025,APPROVED,Medium,USR10046,APPROVED,MEDIUM,ZIEPW3536D,0,0,695001237960,0,0,0,2006-01-04 23:40:26,0,0,33616.0,0,0,0,2025-03-30 00:00:00,0,0,Jalandhar,Punjab,Self Employed,INDRAJIT PATLA,0,0,0,0,0,0,10046,1
USR10047,Pushti Datta,RPFZI6765W,641592077427,11-Jun-1979,Poona,Maharashtra,38887,Salaried,,Under Review,low,USR10047,IN_PROGRESS,LOW,RPFZI6765W,0,0,641592077427,0,0,0,1979-06-11 00:00:00,0,0,38887.0,0,0,0,,1,0,Pune,Maharashtra,Salaried,PUSHTI DATTA,0,0,0,0,0,0,10047,1
USR10048,jhalak chaudhry,PVBSX3783Q,428702893969,31-May-2001,bengaluru,Karnataka,"Rs. 48,066",Retired,02-06-2026,P,low,USR10048,PENDING,LOW,PVBSX3783Q,0,0,428702893969,0,0,0,2001-05-31 00:00:00,0,0,48066.0,0,0,0,2026-06-02 00:00:00,0,0,Bengaluru,Karnataka,Retired,JHALAK CHAUDHRY,0,0,0,0,0,0,10048,1
usr10049,Eshana De,OCHZK0381G,8622-2639-8615,16-Oct-1980,amritsar,Punjab,"Rs. 55,166",Gig Worker,2024/05/19,APPROVED,Medium,USR10049,APPROVED,MEDIUM,OCHZK0381G,0,0,862226398615,0,0,0,1980-10-16 00:00:00,0,0,55166.0,0,0,0,2024-05-19 00:00:00,0,0,Amritsar,Punjab,Gig Worker,ESHANA DE,0,1,0,0,1,2,10049,2
USR10052,Rohan Kothari,ubwtv8602c,798537002668,1960/10/28,kolkata,West Bengal,"₹61,355",Business Owner,1769404015,APPROVED,Medium,USR10052,APPROVED,MEDIUM,UBWTV8602C,0,0,798537002668,0,0,0,1960-10-28 00:00:00,0,0,61355.0,0,0,0,2026-01-26 05:06:55,0,0,Kolkata,West Bengal,Business Owner,ROHAN KOTHARI,1,1,1,0,1,3,10052,3
usr10054,veda sodhi,,696462768561,24-Feb-1977,Ludhiana,Punjab,-15820,Unemployed,,Verified,LOW,USR10054,APPROVED,LOW,,1,0,696462768561,0,0,0,1977-02-24 00:00:00,0,0,-15820.0,0,1,0,,1,0,Ludhiana,Punjab,Unemployed,VEDA SODHI,0,0,0,0,0,0,10054,1
USR10057,zehaan shetty,KQMXL5728R,2498 6474 2603,05-30-1998,Kolkata,West Bengal,,Freelancer,10/03/2026,Verified,Medium,USR10057,APPROVED,MEDIUM,KQMXL5728R,0,0,249864742603,0,0,0,1998-05-30 00:00:00,0,0,,1,0,0,2026-03-10 00:00:00,0,0,Kolkata,West Bengal,Freelancer,ZEHAAN SHETTY,0,0,0,0,0,0,10057,1
