merchant_id,merchant_name,mcc,merchant_category,business_type,city,state,onboarding_date,settlement_account,merchant_status,declared_avg_ticket_size,merchant_id_clean,mcc_clean,business_type_clean,merchant_category_clean,onboarding_date_clean,missing_onboarding_date_flag,invalid_onboarding_date_flag,settlement_account_clean,missing_settlement_account_flag,masked_settlement_account_flag,declared_avg_ticket_clean,missing_avg_ticket_flag,negative_avg_ticket_flag,merchant_id_core,merchant_category_conflict_flag,merchant_business_type_conflict_flag,merchant_status_conflict_flag,merchant_conflict_score,merchant_record_count
MCH 1001,Anand-Kothari,misc,kirana,Partnership,pune,Maharashtra,17/02/2026 06:54 AM,7962506762,Active,332.55,MCH1001,,Partnership,Unknown,2026-02-17 06:54:00,0,0,7962506762,0,0,332.55,0,0,1001,0,0,0,0,1
mch1002,"Apte, Saha and Edwin",05812,Food,private_limited,Bangalore,Karnataka,07/01/2026 09:01 AM,XXXX8596,A,1671.2,MCH1002,5812,Private Limited,Food & Restaurants,2026-01-07 09:01:00,0,0,XXXX8596,0,1,1671.2,0,0,1002,0,0,0,0,1
MCH1003,"Nayar, Batta and Barad",MCC-5699,Fashion,Private Limited,chennai,Tamil Nadu,,,Enabled,INR 792.91,MCH1003,5699,Private Limited,Clothing,,1,0,,1,0,792.91,0,0,1003,0,0,0,0,1
MCH 1004,Pillai-Mohan,4131,TRAVEL,SOLE-PROPRIETOR,LKO,Uttar Pradesh,04-08-2023,3448414449,Active,342.7,MCH1004,4131,Sole Proprietor,Transportation,2023-04-08 00:00:00,0,0,3448414449,0,0,342.7,0,0,1004,0,0,0,0,1
MCH 1005,SAGAR AND SONS,5912.0,MEDICAL_STORE,PARTNERSHIP,Ludhiana,Punjab,02-06-2024,IPTY9767700049775,A,967.53,MCH1005,5912,Partnership,Pharmacy & Medical,2024-02-06 00:00:00,0,0,IPTY9767700049775,0,0,967.53,0,0,1005,0,0,0,0,1
MCH1007,Jain-Wadhwa,7011,HOTEL_LODGING,Private Limited,chennai,Tamil Nadu,30/06/2025,,Disabled,-927.51,MCH1007,7011,Private Limited,Hotels & Hospitality,2025-06-30 00:00:00,0,0,,1,0,-927.51,0,1,1007,1,1,1,3,2
MCH1009,Bha11a-Dave,,Bus/Taxi,INDIVIDUAL,mumbai,Maharashtra,01-08-2024,BAVP5007663773178,Live,"Rs. 1,496",MCH1009,,Individual,Unknown,2024-01-08 00:00:00,0,0,BAVP5007663773178,0,0,1496.0,0,0,1009,0,0,0,0,1
MCH1010,Menon-Andra,,Grocery,PRIVATE-LIMITED,delhi,Delhi,11-17-2024,XXXX4837,Active,678.36,MCH1010,,Private Limited,Unknown,2024-11-17 00:00:00,0,0,XXXX4837,0,1,678.36,0,0,1010,0,0,0,0,1
MCH1011,Wable and Sons,5411.0,groceries,PRIVATE_LIMITED,Ludhiana,Punjab,02/11/2023,,Suspended,"6,536.07",MCH1011,5411,Private Limited,Grocery,2023-11-02 00:00:00,0,0,,1,0,6536.07,0,0,1011,0,0,1,1,2
MCH1014,"Raghavan, Barad and Bahl",05812,Food,PARTNERSHIP,Pune,Maharashtra,23-Mar-2024,PDTL9868386773357,ACTIVE,,MCH1014,5812,Partnership,Food & Restaurants,2024-03-23 00:00:00,0,0,PDTL9868386773357,0,0,,1,0,1014,1,0,1,2,2
